Found 9654 errors in 830 files.

Errors  Files
    13  src/api/__tests__/JarvisAPI.test.ts:1
    14  src/api/__tests__/logger.test.ts:1
     2  src/api/__tests__/retry.test.ts:1
     9  src/api/__tests__/webviewBridge.test.ts:1
     4  src/api/index.ts:2
    29  src/api/JarvisAPI.e2e.spec.ts:1
    18  src/api/JarvisAPI.spec.ts:1
    26  src/api/JarvisAPI.ts:1
    21  src/api/provider/getApiProvider.ts:1
     3  src/api/provider/lmstudio.ts:1
     6  src/api/provider/sambanova.ts:1
     6  src/api/provider/together.ts:1
     7  src/api/providers/__tests__/openai.test.ts:1
    13  src/api/providers/anthropic.ts:4
     3  src/api/providers/asksage.ts:9
    25  src/api/providers/bedrock.ts:1
     2  src/api/providers/config/deepseek-config.test.ts:1
     1  src/api/providers/config/deepseek-config.ts:1
     1  src/api/providers/config/openai-config.test.ts:3
     2  src/api/providers/config/openai-config.ts:1
    20  src/api/providers/deepseek-mock.test.ts:5
    15  src/api/providers/deepseek.test.ts:1
    20  src/api/providers/deepseek.ts:1
     3  src/api/providers/factories/anthropic-factory.ts:13
     2  src/api/providers/factories/openai-factory.ts:1
     9  src/api/providers/gemini.ts:1
    20  src/api/providers/groq.ts:2
     5  src/api/providers/handlers/__tests__/anthropic-handler.test.ts:1
     5  src/api/providers/handlers/anthropic-handler.spec.ts:1
     6  src/api/providers/handlers/anthropic-handler.ts:2
     9  src/api/providers/litellm.ts:2
    17  src/api/providers/lmstudio.ts:2
    17  src/api/providers/mistral.ts:2
     5  src/api/providers/ollama.ts:1
    12  src/api/providers/openai-mock.test.ts:1
     7  src/api/providers/openai-native.ts:3
    29  src/api/providers/openai.ts:1
    11  src/api/providers/openrouter-mock.test.ts:1
    23  src/api/providers/openrouter.ts:4
    10  src/api/providers/perplexity.ts:1
     9  src/api/providers/qwen.ts:1
     7  src/api/providers/requesty.ts:2
    16  src/api/providers/sambanova.ts:1
     6  src/api/providers/schemas/anthropic.schema.ts:23
    21  src/api/providers/together.ts:1
     6  src/api/providers/transform/deepseek-format.ts:1
     2  src/api/providers/types.ts:4
    13  src/api/providers/vertex.ts:4
    10  src/api/providers/vscode-lm.ts:3
     6  src/api/providers/xai.ts:3
    10  src/api/providers/zero.ts:1
     1  src/api/retry.test.ts:1
    10  src/api/transform/anthropic-format.ts:1
     5  src/api/transform/BaseTransformer.ts:9
     6  src/api/transform/gemini-format.ts:7
     3  src/api/transform/link-preview.ts:1
     5  src/api/transform/llmstudio-format.ts:1
     5  src/api/transform/mistral-format.ts:1
    13  src/api/transform/o1-format.ts:2
     7  src/api/transform/ollama-format.ts:1
    14  src/api/transform/openai-format.ts:8
     5  src/api/transform/openrouter-stream.ts:4
    13  src/api/transform/r1-format.ts:1
     2  src/api/transform/stream.test.ts:4
     3  src/api/transform/stream.ts:5
     3  src/api/transform/vertex-format.ts:1
     2  src/api/transform/vertex-stream.ts:1
    12  src/api/transform/vscode-lm-format.ts:1
     3  src/api/types/index.ts:2
     1  src/api/utils/cost.ts:1
     1  src/api/utils/logger.mock.ts:1
     1  src/api/utils/logger.ts:1
     1  src/api/utils/stream.ts:1
     1  src/api/utils/test.ts:1
     1  src/api/webviewBridge.ts:113
    12  src/benchmark/BenchmarkStorage.ts:67
    14  src/commands/agentCommands.ts:2
    16  src/commands/exportCommands.ts:13
     2  src/commands/systemPrompt.ts:3
     5  src/components/__tests__/ChatMessage.test.tsx:3
     7  src/components/AgentFlowDebugger.test.tsx:3
    15  src/components/AgentFlowDebugger.tsx:3
    38  src/components/AggregateStatsView.tsx:1
    13  src/components/AutoMitigationToast.tsx:2
     2  src/components/ChatMessage.test.tsx:2
    14  src/components/ChatMessage.tsx:2
     3  src/components/ChatStreamingIndicator.tsx:6
    13  src/components/ChatView.tsx:2
    19  src/components/DebuggerTimeline.tsx:2
    13  src/components/DebugOverlay.tsx:2
    36  src/components/DecisionDetails.tsx:1
    53  src/components/DecisionGraphView.tsx:2
    50  src/components/FallbackAuditPanel.tsx:3
    42  src/components/FallbackChartPanel.tsx:15
    48  src/components/FallbackMonitorPanel.tsx:1
    37  src/components/MitigatorOverlay.tsx:2
    12  src/components/OpenRouterModelPicker.test.tsx:4
     8  src/components/OpenRouterModelPicker.tsx:1
    18  src/components/PredictiveWarningPanel.tsx:1
     6  src/components/ReplayButton.tsx:1
    10  src/components/settings/OpenRouterModelPicker.tsx:3
    10  src/components/settings/SettingsPanel.tsx:4
    23  src/components/settings/SettingsView.tsx:3
     3  src/components/settings/TabNavbar.tsx:12
     3  src/components/settings/TabNavbarExample.tsx:2
     4  src/components/settings/ThinkingBudgetSlider.tsx:2
     2  src/components/settings/utils.ts:1
    47  src/components/SnapshotDetail.tsx:2
    10  src/components/SparklineChart.tsx:1
     5  src/components/TaskQueueView.tsx:2
    21  src/components/TimelineEntry.tsx:1
    19  src/components/TimelineFilterBar.tsx:26
     3  src/components/TypingIndicator.tsx:5
    16  src/context/ExtensionStateContext.tsx:4
     1  src/context/types.ts:2
     3  src/core/ai/AIFileManager.ts:2
    15  src/core/assistant-message/diff.ts:27
     2  src/core/command-center.ts:9
     6  src/core/context-management/ContextManager.ts:2
     1  src/core/file-operations/FileManager.ts:1
     9  src/core/ignore/JarvisIdeIgnoreController.test.ts:1
     8  src/core/JarvisIde.test.ts:1
     3  src/core/mas/agents/AnalystAgent.ts:11
    21  src/core/mas/agents/CoordinatorAgent.ts:7
     2  src/core/mas/agents/ExecutorAgent.ts:10
     6  src/core/mas/CoderAgent.ts:198
     4  src/core/mas/SupervisorAgent.ts:24
     1  src/core/mentions/index.ts:8
     7  src/core/prompts/responses.ts:1
    10  src/core/prompts/system.ts:1
    11  src/core/WebSocketBridge.ts:4
    25  src/core/webview/__tests__/JarvisProvider.test.ts:1
     6  src/core/webview/__tests__/testUtils.ts:1
   136  src/core/webview/JarvisProvider.ts:2
     7  src/data/__tests__/modelLoader.fallback.test.ts:1
    26  src/data/__tests__/modelLoader.test.ts:1
    31  src/data/__tests__/providerRegistry.test.ts:8
     3  src/data/modelCache.ts:7
     3  src/data/modelLoader.ts:9
     3  src/data/modelProviders.ts:2
     3  src/data/openrouterModels.ts:7
    20  src/data/providerRegistry.ts:7
     7  src/data/providers/anthropicModels.ts:17
     3  src/data/providers/anthropicProvider.ts:7
     7  src/data/providers/openrouterProvider.ts:7
     4  src/dev/commands/tasks.ts:7
     3  src/exports/index.ts:11
     6  src/extension.test.ts:1
    36  src/extension.ts:7
     5  src/extension/ExtensionManager.ts:12
     3  src/extension/llm/AnthropicHandler.ts:10
     1  src/extension/llm/LLMHandler.ts:1
     6  src/extension/LLMManager.ts:4
     1  src/extension/LogManager.ts:6
     3  src/extension/WebviewManager.ts:16
     1  src/hooks/useAggregateStats.ts:2
     1  src/hooks/useAuth.test.tsx:2
    10  src/hooks/useAutoMitigation.ts:2
     1  src/hooks/useChat.test.tsx:2
     2  src/hooks/useChat.ts:13
     3  src/hooks/useConfigModel.ts:2
     5  src/hooks/useDebuggerOverlay.ts:2
     8  src/hooks/useDecisionGraphData.ts:2
     6  src/hooks/useFallbackAudit.ts:2
     2  src/hooks/useFallbackChartData.ts:2
     6  src/hooks/useFallbackTelemetry.ts:2
    10  src/hooks/useFilteredHistory.ts:2
     5  src/hooks/useJarvisIdeChat.ts:2
     3  src/hooks/useJarvisIdeContext.ts:3
     4  src/hooks/useJarvisIdeModel.ts:2
     2  src/hooks/useJarvisIdePrompt.ts:2
     1  src/hooks/useJarvisIdeTelemetry.ts:3
    11  src/hooks/useLiveChatMessageReducer.ts:21
     1  src/hooks/usePredictiveWarnings.ts:2
     1  src/hooks/useProviderBlacklist.ts:2
     1  src/hooks/useProviderSeries.ts:2
     2  src/hooks/vscode-api.ts:6
     1  src/integrations/checkpoints/CheckpointExclusions.ts:331
     2  src/integrations/checkpoints/CheckpointGitOperations.ts:2
     1  src/integrations/checkpoints/CheckpointMigration.ts:48
     2  src/integrations/checkpoints/CheckpointTracker.ts:3
